,date,game_key,백창수,유강남,김재율,이천웅,조윤준,서상우,황목치승,강승호,오상엽,최재원,박재욱,장준원,양석환,히메네스,백승현,안익훈,최민창,김기연,김주성,로니,박부성,김성협,정상호,박용택,손주인,임훈,이병규,이형종,김용의,오지환,문선재,정주현,채은성,윤진호,정성훈
0,2017-03-31,20170331LGWO0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0, 0, 0, 0, 0, 0]","[1, 4, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0, 0, 0, 0, 0, 0]","[1, 3, 0, 0, 0, 0, 0, 0]","[0, 6, 0, 0, 0, 0, 0, 0]","[0, 9, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 0, 0, 0]","[1, 9, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0, 0, 0, 0, 0, 0]"
1,2017-04-01,20170401LGWO0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 3, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.5, 0.5, 1.25, 0.0, 0.25, 0.25]","[1, 1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,2017-04-02,20170402LGWO0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.75, 0.75, 1.25, 1.0, 0.25, 0.5]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.3333333333333333, 0.0, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[1, 4, 0.14285714285714285, 0.25, 0.5714285714285714, 0.0, 0.2857142857142857, 0.14285714285714285]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 3, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.1111111111111111, 0.1111111111111111]","[1, 9, 0.4, 0.4, 0.4, 0.5, 0.0, 0.2]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.25, 0.25, 0.625, 0.0, 0.125, 0.125]","[1, 1, 0.25, 0.25, 0.5, 0.0, 0.25, 0.0]","[1, 2, 0.14285714285714285, 0.3333333333333333, 0.5714285714285714, 1.0, 0.2857142857142857, 0.2857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]"
3,2017-04-04,20170404SSLG0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.2, 0.3333333333333333, 0.2, 0.5, 0.2, 0.4]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.5, 0.5, 0.8333333333333334, 1.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.3333333333333333, 0.3333333333333333, 1.3333333333333333, 0.0, 0.3333333333333333, 0.6666666666666666]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 3, 0.0, 0.25, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.25, 0.0, 0.0, 0.6666666666666666, 0.0]","[1, 4, 0.18181818181818182, 0.3076923076923077, 0.5454545454545454, 0.0, 0.2727272727272727, 0.09090909090909091]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 3, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.25, 0.07142857142857142, 0.07142857142857142]","[1, 9, 0.375, 0.375, 0.375, 0.6666666666666666, 0.125, 0.375]","[0, 5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.3, 0.3, 0.7, 0.0, 0.2, 0.2]","[1, 1, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.0, 0.14285714285714285, 0.0]","[1, 2, 0.3, 0.46153846153846156, 0.6, 1.0, 0.2, 0.3]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.25, 0.3333333333333333, 0.25, 0.0, 0.25, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.0, 0.0, 0.0]"
4,2017-04-06,20170406SSLG0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.125, 0.2222222222222222, 0.125, 0.25, 0.25, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 0.8333333333333334, 1.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.2, 0.2, 0.8, 0.0, 0.2, 0.4]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.25, 0.4, 0.25, 1.0, 0.25, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.0, 0.2, 0.0, 0.0, 0.5, 0.0]","[1, 4, 0.2, 0.29411764705882354, 0.4666666666666667, 0.25, 0.26666666666666666, 0.13333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 3, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.16666666666666666, 0.1111111111111111, 0.05555555555555555]","[0, 9, 0.45454545454545453, 0.5, 0.45454545454545453, 0.75, 0.2727272727272727, 0.45454545454545453]","[0, -1, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.38461538461538464, 0.38461538461538464, 0.6923076923076923, 0.25, 0.23076923076923078, 0.3076923076923077]","[1, 1, 0.25, 0.25, 0.3333333333333333, 0.5, 0.08333333333333333, 0.08333333333333333]","[1, 2, 0.35714285714285715, 0.5, 0.6428571428571429, 0.5, 0.2857142857142857, 0.35714285714285715]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.3333333333333333, 0.38461538461538464, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.08333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.4, 0.4, 0.7, 0.3333333333333333, 0.2, 0.1]"
5,2017-04-07,20170407LGLT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.09090909090909091, 0.16666666666666666, 0.09090909090909091, 0.25, 0.18181818181818182, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 0.8333333333333334, 1.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.42857142857142855, 0.5, 0.42857142857142855, 1.0, 0.2857142857142857, 0.14285714285714285]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.125, 0.0, 0.0, 0.2857142857142857, 0.0]","[1, 4, 0.17647058823529413, 0.3333333333333333, 0.4117647058823529, 0.25, 0.29411764705882354, 0.11764705882352941]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.0, 0.2, 0.0, 0.0, 0.25, 0.0]","[1, 3, 0.23809523809523808, 0.2727272727272727, 0.23809523809523808, 0.25, 0.09523809523809523, 0.09523809523809523]","[0, -1, 0.45454545454545453, 0.5, 0.45454545454545453, 0.75, 0.2727272727272727, 0.45454545454545453]","[1, 7, 0.5, 0.6, 0.5, 0.0, 0.25, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.375, 0.35294117647058826, 0.625, 0.2, 0.1875, 0.3125]","[0, -1, 0.25, 0.25, 0.3333333333333333, 0.5, 0.08333333333333333, 0.08333333333333333]","[1, 2, 0.4444444444444444, 0.5454545454545454, 0.9444444444444444, 0.5, 0.3333333333333333, 0.3888888888888889]","[0, 6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.3125, 0.35294117647058826, 0.3125, 0.2, 0.125, 0.0625]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.4, 0.4, 0.7, 0.3333333333333333, 0.2, 0.1]"
6,2017-04-08,20170408LGLT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.07692307692307693, 0.14285714285714285, 0.07692307692307693, 0.25, 0.15384615384615385, 0.15384615384615385]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 0.8333333333333334, 1.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.16666666666666666, 0.2857142857142857, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.45454545454545453, 0.5, 0.45454545454545453, 1.0, 0.2727272727272727, 0.09090909090909091]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.0, 0.1111111111111111, 0.0, 0.0, 0.25, 0.0]","[1, 4, 0.19047619047619047, 0.32, 0.38095238095238093, 0.2857142857142857, 0.23809523809523808, 0.19047619047619047]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.16666666666666666, 0.0, 0.0, 0.2, 0.0]","[1, 3, 0.24, 0.2692307692307692, 0.24, 0.2, 0.08, 0.08]","[0, -1, 0.45454545454545453, 0.5, 0.45454545454545453, 0.75, 0.2727272727272727, 0.45454545454545453]","[1, 7, 0.375, 0.4444444444444444, 0.375, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.3333333333333333, 0.3181818181818182, 0.5714285714285714, 0.2857142857142857, 0.19047619047619047, 0.3333333333333333]","[0, 3, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.5, 0.07142857142857142, 0.07142857142857142]","[1, 2, 0.47619047619047616, 0.5769230769230769, 1.0, 0.5714285714285714, 0.38095238095238093, 0.42857142857142855]","[0, 6, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.3, 0.3333333333333333, 0.3, 0.16666666666666666, 0.1, 0.05]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.38461538461538464, 0.38461538461538464, 0.6153846153846154, 0.3333333333333333, 0.15384615384615385, 0.07692307692307693]"
7,2017-04-09,20170409LGLT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.125, 0.17647058823529413, 0.1875, 0.2, 0.125, 0.125]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 0.8333333333333334, 1.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.16666666666666666, 0.4444444444444444, 0.6666666666666666, 0.0, 0.5, 0.3333333333333333]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.4666666666666667, 0.5, 0.6, 0.75, 0.26666666666666666, 0.2]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.0, 0.1, 0.0, 0.0, 0.2222222222222222, 0.0]","[1, 4, 0.23076923076923078, 0.3333333333333333, 0.4230769230769231, 0.375, 0.19230769230769232, 0.23076923076923078]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.16666666666666666, 0.0, 0.0, 0.2, 0.0]","[0, -1, 0.24, 0.2692307692307692, 0.24, 0.2, 0.08, 0.08]","[0, 2, 0.45454545454545453, 0.5, 0.45454545454545453, 0.75, 0.2727272727272727, 0.45454545454545453]","[0, 7, 0.4166666666666667, 0.46153846153846156, 0.4166666666666667, 0.0, 0.08333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.32, 0.3333333333333333, 0.64, 0.2222222222222222, 0.24, 0.36]","[0, 5, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.5, 0.14285714285714285, 0.07142857142857142]","[1, 2, 0.46153846153846156, 0.5483870967741935, 0.8846153846153846, 0.5555555555555556, 0.3076923076923077, 0.34615384615384615]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.28, 0.3076923076923077, 0.28, 0.14285714285714285, 0.08, 0.04]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.4375, 0.47058823529411764, 0.6875, 0.25, 0.125, 0.0625]"
8,2017-04-11,20170411LGNC0,"[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.1111111111111111, 0.15789473684210525, 0.16666666666666666, 0.2, 0.1111111111111111, 0.1111111111111111]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 0.8333333333333334, 1.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.14285714285714285, 0.45454545454545453, 0.5714285714285714, 0.0, 0.42857142857142855, 0.2857142857142857]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.3888888888888889, 0.45, 0.5, 0.75, 0.2222222222222222, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.1, 0.0, 0.0, 0.2222222222222222, 0.0]","[1, 4, 0.2, 0.29411764705882354, 0.36666666666666664, 0.3, 0.16666666666666666, 0.2]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.14285714285714285, 0.0, 0.0, 0.16666666666666666, 0.0]","[1, 3, 0.23333333333333334, 0.25806451612903225, 0.23333333333333334, 0.16666666666666666, 0.06666666666666667, 0.06666666666666667]","[1, 9, 0.5, 0.5384615384615384, 0.5, 0.75, 0.25, 0.4166666666666667]","[0, -1, 0.4166666666666667, 0.46153846153846156, 0.4166666666666667, 0.0, 0.08333333333333333, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.3103448275862069, 0.3225806451612903, 0.6206896551724138, 0.18181818181818182, 0.20689655172413793, 0.3103448275862069]","[1, 1, 0.2, 0.2, 0.26666666666666666, 0.3333333333333333, 0.13333333333333333, 0.06666666666666667]","[1, 2, 0.42857142857142855, 0.5294117647058824, 0.8214285714285714, 0.5, 0.32142857142857145, 0.32142857142857145]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.32142857142857145, 0.3448275862068966, 0.35714285714285715, 0.25, 0.07142857142857142, 0.07142857142857142]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.42105263157894735, 0.47619047619047616, 0.631578947368421, 0.25, 0.10526315789473684, 0.05263157894736842]"
9,2017-04-12,20170412LGNC0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.09523809523809523, 0.13636363636363635, 0.14285714285714285, 0.16666666666666666, 0.09523809523809523, 0.09523809523809523]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 0.8333333333333334, 1.0, 0.16666666666666666, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0.125, 0.4166666666666667, 0.5, 0.0, 0.375, 0.25]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 9, 0.3888888888888889, 0.45, 0.5, 0.75, 0.2222222222222222, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.08333333333333333, 0.0, 0.0, 0.18181818181818182, 0.0]","[1, 4, 0.18181818181818182, 0.3076923076923077, 0.3333333333333333, 0.25, 0.15151515151515152, 0.18181818181818182]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 8, 0.0, 0.125, 0.0, 0.0, 0.14285714285714285, 0.0]","[1, 3, 0.24242424242424243, 0.3055555555555556, 0.24242424242424243, 0.23076923076923078, 0.09090909090909091, 0.09090909090909091]","[0, -1, 0.5, 0.5384615384615384, 0.5, 0.75, 0.25, 0.4166666666666667]","[0, 1, 0.35714285714285715, 0.4, 0.35714285714285715, 0.0, 0.07142857142857142, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.30303030303030304, 0.3333333333333333, 0.5757575757575758, 0.16666666666666666, 0.18181818181818182, 0.2727272727272727]","[1, 1, 0.2222222222222222, 0.3, 0.2777777777777778, 0.3333333333333333, 0.16666666666666666, 0.05555555555555555]","[1, 2, 0.3939393939393939, 0.48717948717948717, 0.7272727272727273, 0.45454545454545453, 0.2727272727272727, 0.2727272727272727]","[0, 8, 0.0, 0.16666666666666666, 0.0, 0.0, 0.4, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 5, 0.30303030303030304, 0.3235294117647059, 0.3333333333333333, 0.18181818181818182, 0.06060606060606061, 0.06060606060606061]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.36363636363636365, 0.46153846153846156, 0.5454545454545454, 0.25, 0.09090909090909091, 0.045454545454545456]"
