,date,game_key,홍재호,이인행,최병연,윤정우,오준혁,윤완주,이홍구,고영우,노수광,한승택,강한울,박찬호,박진두,필,황대인,박정우,김호령,최원준,이진영,신범수,김주찬,이범호,이성우,김원섭,김민우,신종길,서동욱,김주형,이호신,김선빈,나지완,백용환,최용규,김다원,안치홍
0,2016-04-01,20160401HTNC0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 7, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0, 0, 0, 0, 0, 0]","[1, 5, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0, 0, 0, 0, 0, 0]","[1, 9, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]","[1, 8, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]"
1,2016-04-02,20160402HTNC0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 7, 0, 0, 0, 0, 0, 0]","[0, 9, 0, 0, 0, 0, 0, 0]","[0, 6, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.5, 0.5, 0.75, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.0, 0.25, 0.0, 0.0, 0.3333333333333333, 0.0]","[1, 5, 0.6666666666666666, 0.75, 1.0, 0.0, 0.0, 0.0]","[0, 9, 0, 0, 0, 0, 0, 0]","[1, 1, 0.25, 0.25, 0.5, 0.3333333333333333, 0.0, 0.5]","[1, 9, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.2, 0.2, 0.2, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.6666666666666666, 0.75, 1.6666666666666667, 0.0, 0.3333333333333333, 0.3333333333333333]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]"
2,2016-04-05,20160405LGHT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.5, 0.5, 0.75, 0.0, 0.5, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.25, 0.3333333333333333, 0.375, 0.0, 0.375, 0.0]","[1, 5, 0.5714285714285714, 0.625, 1.2857142857142858, 0.3333333333333333, 0.14285714285714285, 0.2857142857142857]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.125, 0.2222222222222222, 0.25, 0.3333333333333333, 0.125, 0.25]","[1, 8, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.2857142857142857, 0.375, 0.2857142857142857, 0.0, 0.0, 0.0]","[0, 9, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.25, 0.5, 0.25, 0.0, 0.0, 0.0]","[1, 7, 0.3333333333333333, 0.5, 0.8333333333333334, 0.0, 0.16666666666666666, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
3,2016-04-07,20160407LGHT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.5, 0.5, 0.625, 1.0, 0.25, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.16666666666666666, 0.23076923076923078, 0.25, 0.0, 0.25, 0.0]","[1, 5, 0.4444444444444444, 0.5454545454545454, 1.0, 0.25, 0.2222222222222222, 0.2222222222222222]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.2727272727272727, 0.38461538461538464, 0.45454545454545453, 0.5, 0.09090909090909091, 0.36363636363636365]","[1, 9, 0.1111111111111111, 0.2, 0.1111111111111111, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5, 0.5454545454545454, 0.8, 0.0, 0.2, 0.2]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.14285714285714285, 0.4, 0.14285714285714285, 0.0, 0.0, 0.0]","[0, 1, 0.2222222222222222, 0.36363636363636365, 0.5555555555555556, 0.0, 0.1111111111111111, 0.1111111111111111]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
4,2016-04-08,20160408HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 9, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0]","[0, 9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.4166666666666667, 0.4166666666666667, 0.5833333333333334, 1.0, 0.25, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.1875, 0.23529411764705882, 0.3125, 0.5, 0.25, 0.0625]","[1, 5, 0.3333333333333333, 0.4666666666666667, 0.75, 0.2, 0.16666666666666666, 0.16666666666666666]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.2857142857142857, 0.375, 0.42857142857142855, 0.5, 0.07142857142857142, 0.2857142857142857]","[1, 9, 0.08333333333333333, 0.15384615384615385, 0.08333333333333333, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.5, 0.5333333333333333, 0.7857142857142857, 0.0, 0.21428571428571427, 0.14285714285714285]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.2, 0.42857142857142855, 0.2, 0.5, 0.1, 0.1]","[1, 8, 0.18181818181818182, 0.3076923076923077, 0.45454545454545453, 0.0, 0.09090909090909091, 0.09090909090909091]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.125, 0.125, 0.25, 0.0, 0.125, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
5,2016-04-09,20160409HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 8, 0.4, 0.4, 0.6, 0.3333333333333333, 0.0, 0.2]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 6, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.3333333333333333, 0.375, 0.4666666666666667, 1.0, 0.2, 0.2]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.15, 0.19047619047619047, 0.25, 0.5, 0.2, 0.05]","[1, 5, 0.26666666666666666, 0.42105263157894735, 0.6, 0.2, 0.13333333333333333, 0.13333333333333333]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0.23529411764705882, 0.35, 0.35294117647058826, 0.5, 0.058823529411764705, 0.23529411764705882]","[1, 9, 0.07692307692307693, 0.2, 0.07692307692307693, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 2, 0.3888888888888889, 0.42105263157894735, 0.6111111111111112, 0.0, 0.16666666666666666, 0.1111111111111111]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.42857142857142855, 0.2, 0.5, 0.1, 0.1]","[1, 7, 0.14285714285714285, 0.25, 0.35714285714285715, 0.0, 0.07142857142857142, 0.07142857142857142]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.0, 0.09090909090909091, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
6,2016-04-10,20160410HTKT0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.0, 0.09090909090909091, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 8, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.16666666666666666]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.35, 0.38095238095238093, 0.5, 0.8, 0.2, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.2, 0.23076923076923078, 0.32, 0.3333333333333333, 0.24, 0.04]","[1, 5, 0.21052631578947367, 0.3333333333333333, 0.47368421052631576, 0.14285714285714285, 0.10526315789473684, 0.15789473684210525]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 2, 0.18181818181818182, 0.28, 0.2727272727272727, 0.5, 0.045454545454545456, 0.18181818181818182]","[1, 9, 0.13333333333333333, 0.3157894736842105, 0.13333333333333333, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.36363636363636365, 0.4166666666666667, 0.5454545454545454, 0.0, 0.18181818181818182, 0.09090909090909091]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.42857142857142855, 0.2, 0.5, 0.1, 0.1]","[0, -1, 0.14285714285714285, 0.25, 0.35714285714285715, 0.0, 0.07142857142857142, 0.07142857142857142]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.23076923076923078, 0.2857142857142857, 0.3076923076923077, 0.0, 0.07692307692307693, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]"
7,2016-04-12,20160412HTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.26666666666666666, 0.3125, 0.6, 0.0, 0.13333333333333333, 0.0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 7, 0.4444444444444444, 0.5, 0.6666666666666666, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111]","[0, 5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.32, 0.34615384615384615, 0.44, 0.5714285714285714, 0.2, 0.2]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.2, 0.22580645161290322, 0.3, 0.16666666666666666, 0.23333333333333334, 0.06666666666666667]","[1, 5, 0.20833333333333334, 0.3103448275862069, 0.4166666666666667, 0.25, 0.08333333333333333, 0.125]","[0, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 2, 0.20833333333333334, 0.36666666666666664, 0.2916666666666667, 0.6, 0.041666666666666664, 0.20833333333333334]","[1, 9, 0.15789473684210525, 0.30434782608695654, 0.15789473684210525, 0.3333333333333333, 0.0, 0.05263157894736842]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.38461538461538464, 0.4482758620689655, 0.6923076923076923, 0.0, 0.19230769230769232, 0.11538461538461539]","[0, 2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.42857142857142855, 0.2, 0.5, 0.1, 0.1]","[1, 8, 0.16666666666666666, 0.25, 0.3333333333333333, 0.16666666666666666, 0.05555555555555555, 0.1111111111111111]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.2222222222222222, 0.2631578947368421, 0.2777777777777778, 0.14285714285714285, 0.05555555555555555, 0.1111111111111111]","[0, -1, 0, 0, 0, 0, 0, 0]"
8,2016-04-13,20160413HTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 2, 0.25, 0.2857142857142857, 0.5, 0.0, 0.1, 0.0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 6, 0.35714285714285715, 0.4, 0.5, 0.4, 0.07142857142857142, 0.14285714285714285]","[0, 6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 5, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.35714285714285715, 0.41935483870967744, 0.6071428571428571, 0.5714285714285714, 0.25, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.20588235294117646, 0.25, 0.29411764705882354, 0.16666666666666666, 0.20588235294117646, 0.058823529411764705]","[1, 5, 0.19230769230769232, 0.3333333333333333, 0.38461538461538464, 0.25, 0.11538461538461539, 0.11538461538461539]","[1, 8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 8, 0.17857142857142858, 0.34285714285714286, 0.25, 0.5, 0.07142857142857142, 0.17857142857142858]","[1, 2, 0.17391304347826086, 0.2962962962962963, 0.17391304347826086, 0.5, 0.0, 0.08695652173913043]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.43333333333333335, 0.5, 0.9, 0.3333333333333333, 0.23333333333333334, 0.16666666666666666]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.42857142857142855, 0.2, 0.5, 0.1, 0.1]","[1, 7, 0.18181818181818182, 0.25, 0.45454545454545453, 0.125, 0.09090909090909091, 0.13636363636363635]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.21052631578947367, 0.25, 0.2631578947368421, 0.125, 0.05263157894736842, 0.10526315789473684]","[0, -1, 0, 0, 0, 0, 0, 0]"
9,2016-04-14,20160414HTSK0,"[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 1, 0.23809523809523808, 0.2727272727272727, 0.47619047619047616, 0.0, 0.09523809523809523, 0.0]","[0, 1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0.35714285714285715, 0.4, 0.5, 0.4, 0.07142857142857142, 0.14285714285714285]","[0, 7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 2, 0.5, 0.5, 0.5, 1.0, 0.25, 0.25]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, 6, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 4, 0.3225806451612903, 0.4, 0.5483870967741935, 0.5, 0.22580645161290322, 0.22580645161290322]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 3, 0.23684210526315788, 0.275, 0.3157894736842105, 0.16666666666666666, 0.18421052631578946, 0.05263157894736842]","[1, 5, 0.20689655172413793, 0.35135135135135137, 0.41379310344827586, 0.25, 0.10344827586206896, 0.10344827586206896]","[0, 8, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0]","[0, 9, 0.1724137931034483, 0.3333333333333333, 0.2413793103448276, 0.5, 0.06896551724137931, 0.1724137931034483]","[1, 9, 0.19230769230769232, 0.3, 0.19230769230769232, 0.4, 0.0, 0.07692307692307693]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 6, 0.38235294117647056, 0.4473684210526316, 0.7941176470588235, 0.25, 0.20588235294117646, 0.14705882352941177]","[0, -1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, -1, 0, 0, 0, 0, 0, 0]","[0, -1, 0.2, 0.42857142857142855, 0.2, 0.5, 0.1, 0.1]","[1, 8, 0.16, 0.2222222222222222, 0.4, 0.1111111111111111, 0.08, 0.12]","[0, -1, 0, 0, 0, 0, 0, 0]","[1, 7, 0.19047619047619047, 0.2608695652173913, 0.23809523809523808, 0.125, 0.047619047619047616, 0.09523809523809523]","[0, -1, 0, 0, 0, 0, 0, 0]"
